"number","agecat","governorate","gender","q20","q24","q37","geoid"
"59","Under 25","بيروت","Male","إلى حدٍ ما","منتمي(ة) إلى حزب/تيار سياسي","NA","1618"
"60","Under 25","بيروت","Female","إلى حدٍ ما","مشجع(ة) أو داعم(ة) لحزب/تيار سياسي","نظام مختلط (يجمع بين النظامين النسبي والأكثري)","1618"
"61","55-64","بيروت","Male","غير راضٍ(ية","مشجع(ة) أو داعم(ة) لحزب/تيار سياسي","النسبية مع لبنان دائرة واحدة","1618"
"62","25-34","بيروت","Female","إلى حدٍ ما","مشجع(ة) أو داعم(ة) لحزب/تيار سياسي","غيره، حدد ","1618"
"63","35-44","بيروت","Female","إلى حدٍ ما","مشجع(ة) أو داعم(ة) لحزب/تيار سياسي","نظام مختلط (يجمع بين النظامين النسبي والأكثري)","1618"
"64","Under 25","بيروت","Female","إلى حدٍ ما","مشجع(ة) أو داعم(ة) لحزب/تيار سياسي","نظام مختلط (يجمع بين النظامين النسبي والأكثري)","1618"
"65","Under 25","بيروت","Male","إلى حدٍ ما","مشجع(ة) أو داعم(ة) لحزب/تيار سياسي","نظام مختلط (يجمع بين النظامين النسبي والأكثري)","1618"
"66","Under 25","بيروت","Female","غير راضٍ(ية","مشجع(ة) أو داعم(ة) لحزب/تيار سياسي","النسبية مع لبنان دائرة واحدة","1618"
"67","25-34","بيروت","Female","غير راضٍ(ية","اهتم بالسياسة لكن لا أميل إلى أي طرف سياسي","النسبية مع لبنان دائرة واحدة","1618"
"68","45-54","بيروت","Male","غير راضٍ(ية","لا تهمّني السياسة","NA","1618"
"69","25-34","بيروت","Female","إلى حدٍ ما","اهتم بالسياسة لكن لا أميل إلى أي طرف سياسي","NA","1618"
"70","45-54","بيروت","Female","غير راضٍ(ية","اهتم بالسياسة لكن لا أميل إلى أي طرف سياسي","النسبية مع لبنان دائرة واحدة","1618"
"71","25-34","بيروت","Female","غير راضٍ(ية","لا تهمّني السياسة","النسبية مع لبنان دائرة واحدة","1618"
"72","Under 25","بيروت","Female","غير راضٍ(ية","اهتم بالسياسة لكن لا أميل إلى أي طرف سياسي","النسبية مع لبنان دائرة واحدة","1618"
"73","Under 25","بيروت","Male","غير راضٍ(ية","اهتم بالسياسة لكن لا أميل إلى أي طرف سياسي","لا اعرف","1618"
"74","45-54","بيروت","Male","غير راضٍ(ية","اهتم بالسياسة لكن لا أميل إلى أي طرف سياسي","النسبية مع لبنان دائرة واحدة","1618"
"75","25-34","بيروت","Male","غير راضٍ(ية","اهتم بالسياسة لكن لا أميل إلى أي طرف سياسي","لا اعرف","1618"
"76","25-34","بيروت","Female","غير راضٍ(ية","اهتم بالسياسة لكن لا أميل إلى أي طرف سياسي","النسبية مع لبنان دائرة واحدة","1618"
"77","45-54","بيروت","Male","إلى حدٍ ما","لا تهمّني السياسة","النسبية مع لبنان دائرة واحدة","1618"
"78","Under 25","بيروت","Female","غير راضٍ(ية","اهتم بالسياسة لكن لا أميل إلى أي طرف سياسي","نظام مختلط (يجمع بين النظامين النسبي والأكثري)","1618"
"79","55-64","بيروت","Female","إلى حدٍ ما","لا تهمّني السياسة","النسبية مع لبنان دائرة واحدة","1618"
"80","35-44","بيروت","Female","NA","اهتم بالسياسة لكن لا أميل إلى أي طرف سياسي","نظام مختلط (يجمع بين النظامين النسبي والأكثري)","1618"
"81","35-44","بيروت","Male","غير راضٍ(ية","لا تهمّني السياسة","نظام مختلط (يجمع بين النظامين النسبي والأكثري)","1618"
"82","25-34","بيروت","Female","غير راضٍ(ية","لا تهمّني السياسة","NA","1618"
"83","35-44","بيروت","Female","إلى حدٍ ما","اهتم بالسياسة لكن لا أميل إلى أي طرف سياسي","نظام مختلط (يجمع بين النظامين النسبي والأكثري)","1618"
"84","Under 25","بيروت","Female","إلى حدٍ ما","لا تهمّني السياسة","لا اعرف","1618"
"85","55-64","بيروت","Female","إلى حدٍ ما","لا تهمّني السياسة","NA","1618"
"86","Under 25","بيروت","Male","غير راضٍ(ية","لا تهمّني السياسة","لا اعرف","1618"
"87","Under 25","بيروت","Female","غير راضٍ(ية","لا تهمّني السياسة","لا اعرف","1618"
"88","Under 25","بيروت","Female","راضٍ(ية) تماماً","لا تهمّني السياسة","لا اعرف","1618"
"89","25-34","بيروت","Female","إلى حدٍ ما","لا تهمّني السياسة","نظام مختلط (يجمع بين النظامين النسبي والأكثري)","1618"
"90","55-64","بيروت","Male","غير راضٍ(ية","لا تهمّني السياسة","لا اعرف","1618"
"91","25-34","بيروت","Male","غير راضٍ(ية","منتمي(ة) إلى حزب/تيار سياسي","النسبية مع دوائر صغرى","1618"
"92","25-34","بيروت","Male","غير راضٍ(ية","لا تهمّني السياسة","NA","1618"
"93","25-34","بيروت","Male","غير راضٍ(ية","منتمي(ة) إلى حزب/تيار سياسي","NA","1618"
"94","35-44","بيروت","Male","إلى حدٍ ما","منتمي(ة) إلى حزب/تيار سياسي","NA","1618"
"95","Under 25","بيروت","Female","غير راضٍ(ية","اهتم بالسياسة لكن لا أميل إلى أي طرف سياسي","NA","1618"
"96","25-34","بيروت","Male","غير راضٍ(ية","لا تهمّني السياسة","NA","1618"
"97","35-44","بيروت","Male","غير راضٍ(ية","لا تهمّني السياسة","NA","1618"
"98","25-34","بيروت","Male","إلى حدٍ ما","منتمي(ة) إلى حزب/تيار سياسي","NA","1618"
"99","35-44","بيروت","Female","غير راضٍ(ية","مشجع(ة) أو داعم(ة) لحزب/تيار سياسي","NA","1618"
"100","35-44","بيروت","Female","إلى حدٍ ما","لا تهمّني السياسة","NA","1618"
"101","25-34","بيروت","Female","إلى حدٍ ما","لا تهمّني السياسة","NA","1618"
"102","45-54","بيروت","Male","غير راضٍ(ية","اهتم بالسياسة لكن لا أميل إلى أي طرف سياسي","NA","1618"
"103","35-44","بيروت","Male","غير راضٍ(ية","لا تهمّني السياسة","NA","1618"
"104","35-44","بيروت","Male","غير راضٍ(ية","منتمي(ة) إلى حزب/تيار سياسي","النسبية مع دوائر صغرى","1618"
"105","35-44","بيروت","Female","غير راضٍ(ية","لا تهمّني السياسة","NA","1618"
"106","35-44","بيروت","Male","إلى حدٍ ما","لا تهمّني السياسة","NA","1618"
"107","35-44","بيروت","Male","إلى حدٍ ما","اهتم بالسياسة لكن لا أميل إلى أي طرف سياسي","النسبية مع لبنان دائرة واحدة","1618"
"108","25-34","بيروت","Male","إلى حدٍ ما","لا تهمّني السياسة","النسبية مع لبنان دائرة واحدة","1618"
"109","Under 25","بيروت","Male","إلى حدٍ ما","لا تهمّني السياسة","النسبية مع لبنان دائرة واحدة","1618"
"110","Under 25","بيروت","Male","إلى حدٍ ما","اهتم بالسياسة لكن لا أميل إلى أي طرف سياسي","النسبية مع لبنان دائرة واحدة","1618"
"111","45-54","بيروت","Male","غير راضٍ(ية","لا تهمّني السياسة","النسبية مع دوائر كبرى ","1618"
"112","35-44","بيروت","Female","غير راضٍ(ية","لا تهمّني السياسة","نظام مختلط (يجمع بين النظامين النسبي والأكثري)","1618"
"113","25-34","بيروت","Female","إلى حدٍ ما","لا تهمّني السياسة","النسبية مع لبنان دائرة واحدة","1618"
"114","55-64","بيروت","Male","غير راضٍ(ية","لا تهمّني السياسة","NA","1618"
"115","55-64","بيروت","Male","راضٍ(ية) تماماً","اهتم بالسياسة لكن لا أميل إلى أي طرف سياسي","نظام مختلط (يجمع بين النظامين النسبي والأكثري)","1618"
"116","55-64","بيروت","Male","راضٍ(ية) تماماً","ناشط(ة) في المجتمع المدني واهتم بالسياسة لكن لا أميل الى أي ","النسبية مع دوائر صغرى","1618"
"117","35-44","بيروت","Male","إلى حدٍ ما","اهتم بالسياسة لكن لا أميل إلى أي طرف سياسي","نظام مختلط (يجمع بين النظامين النسبي والأكثري)","1618"
"118","35-44","بيروت","Female","إلى حدٍ ما","اهتم بالسياسة لكن لا أميل إلى أي طرف سياسي","نظام مختلط (يجمع بين النظامين النسبي والأكثري)","1618"
"119","Under 25","بيروت","Male","إلى حدٍ ما","لا تهمّني السياسة","NA","1618"
"120","45-54","بيروت","Male","إلى حدٍ ما","اهتم بالسياسة لكن لا أميل إلى أي طرف سياسي","نظام مختلط (يجمع بين النظامين النسبي والأكثري)","1618"
"121","Under 25","بيروت","Male","إلى حدٍ ما","لا تهمّني السياسة","نظام مختلط (يجمع بين النظامين النسبي والأكثري)","1618"
"122","55-64","بيروت","Female","إلى حدٍ ما","منتمي(ة) إلى حزب/تيار سياسي","نظام مختلط (يجمع بين النظامين النسبي والأكثري)","1618"
"123","45-54","بيروت","Male","غير راضٍ(ية","مشجع(ة) أو داعم(ة) لحزب/تيار سياسي","NA","1618"
"124","25-34","بيروت","Female","غير راضٍ(ية","مشجع(ة) أو داعم(ة) لحزب/تيار سياسي","غيره، حدد ","1618"
"125","55-64","بيروت","Female","إلى حدٍ ما","منتمي(ة) إلى حزب/تيار سياسي","لا جواب","1618"
"126","45-54","بيروت","Male","إلى حدٍ ما","مشجع(ة) أو داعم(ة) لحزب/تيار سياسي","NA","1618"
"127","35-44","بيروت","Female","إلى حدٍ ما","مشجع(ة) أو داعم(ة) لحزب/تيار سياسي","نظام مختلط (يجمع بين النظامين النسبي والأكثري)","1618"
"128","Under 25","بيروت","Female","إلى حدٍ ما","مشجع(ة) أو داعم(ة) لحزب/تيار سياسي","نظام مختلط (يجمع بين النظامين النسبي والأكثري)","1618"
"129","Under 25","بيروت","Female","إلى حدٍ ما","مشجع(ة) أو داعم(ة) لحزب/تيار سياسي","لا اعرف","1618"
"130","55-64","بيروت","Male","غير راضٍ(ية","منتمي(ة) إلى حزب/تيار سياسي","نظام مختلط (يجمع بين النظامين النسبي والأكثري)","1618"
"131","35-44","بيروت","Female","إلى حدٍ ما","مشجع(ة) أو داعم(ة) لحزب/تيار سياسي","نظام مختلط (يجمع بين النظامين النسبي والأكثري)","1618"
"132","Under 25","بيروت","Female","إلى حدٍ ما","مشجع(ة) أو داعم(ة) لحزب/تيار سياسي","نظام مختلط (يجمع بين النظامين النسبي والأكثري)","1618"
"133","25-34","بيروت","Female","إلى حدٍ ما","مشجع(ة) أو داعم(ة) لحزب/تيار سياسي","النسبية مع انتخاب كل شخص لنواب طائفته","1618"
"134","45-54","بيروت","Female","إلى حدٍ ما","مشجع(ة) أو داعم(ة) لحزب/تيار سياسي","نظام مختلط (يجمع بين النظامين النسبي والأكثري)","1618"
"135","35-44","بيروت","Female","إلى حدٍ ما","مشجع(ة) أو داعم(ة) لحزب/تيار سياسي","نظام مختلط (يجمع بين النظامين النسبي والأكثري)","1618"
"136","35-44","بيروت","Female","إلى حدٍ ما","مشجع(ة) أو داعم(ة) لحزب/تيار سياسي","نظام مختلط (يجمع بين النظامين النسبي والأكثري)","1618"
"137","35-44","بيروت","Female","راضٍ(ية) تماماً","مشجع(ة) أو داعم(ة) لحزب/تيار سياسي","NA","1618"
"138","35-44","بيروت","Female","راضٍ(ية) تماماً","مشجع(ة) أو داعم(ة) لحزب/تيار سياسي","NA","1618"
"139","Under 25","بيروت","Male","إلى حدٍ ما","مشجع(ة) أو داعم(ة) لحزب/تيار سياسي","لا اعرف","1618"
"140","Under 25","بيروت","Female","غير راضٍ(ية","مشجع(ة) أو داعم(ة) لحزب/تيار سياسي","النسبية مع لبنان دائرة واحدة","1618"
"141","35-44","بيروت","Male","إلى حدٍ ما","منتمي(ة) إلى حزب/تيار سياسي","نظام مختلط (يجمع بين النظامين النسبي والأكثري)","1618"
"142","45-54","بيروت","Male","إلى حدٍ ما","منتمي(ة) إلى حزب/تيار سياسي","نظام مختلط (يجمع بين النظامين النسبي والأكثري)","1618"
"143","35-44","بيروت","Male","إلى حدٍ ما","مشجع(ة) أو داعم(ة) لحزب/تيار سياسي","نظام مختلط (يجمع بين النظامين النسبي والأكثري)","1618"
"144","65 and above","بيروت","Female","إلى حدٍ ما","مشجع(ة) أو داعم(ة) لحزب/تيار سياسي","نظام مختلط (يجمع بين النظامين النسبي والأكثري)","1618"
"145","45-54","بيروت","Female","إلى حدٍ ما","مشجع(ة) أو داعم(ة) لحزب/تيار سياسي","نظام مختلط (يجمع بين النظامين النسبي والأكثري)","1618"
"146","55-64","بيروت","Male","إلى حدٍ ما","مشجع(ة) أو داعم(ة) لحزب/تيار سياسي","النسبية مع لبنان دائرة واحدة","1618"
"147","Under 25","بيروت","Female","إلى حدٍ ما","مشجع(ة) أو داعم(ة) لحزب/تيار سياسي","نظام مختلط (يجمع بين النظامين النسبي والأكثري)","1618"
"148","25-34","بيروت","Female","إلى حدٍ ما","مشجع(ة) أو داعم(ة) لحزب/تيار سياسي","نظام مختلط (يجمع بين النظامين النسبي والأكثري)","1618"
"149","25-34","بيروت","Female","إلى حدٍ ما","مشجع(ة) أو داعم(ة) لحزب/تيار سياسي","نظام مختلط (يجمع بين النظامين النسبي والأكثري)","1618"
"150","Under 25","بيروت","Female","راضٍ(ية) تماماً","مشجع(ة) أو داعم(ة) لحزب/تيار سياسي","نظام مختلط (يجمع بين النظامين النسبي والأكثري)","1618"
"151","35-44","بيروت","Male","غير راضٍ(ية","اهتم بالسياسة لكن لا أميل إلى أي طرف سياسي","النسبية مع لبنان دائرة واحدة","1618"
"152","35-44","بيروت","Female","غير راضٍ(ية","لا تهمّني السياسة","النسبية مع لبنان دائرة واحدة","1618"
"153","25-34","بيروت","Male","غير راضٍ(ية","اهتم بالسياسة لكن لا أميل إلى أي طرف سياسي","غيره، حدد ","1618"
"154","Under 25","بيروت","Female","إلى حدٍ ما","لا تهمّني السياسة","NA","1618"
"155","45-54","بيروت","Female","غير راضٍ(ية","لا تهمّني السياسة","NA","1618"
"156","25-34","بيروت","Female","غير راضٍ(ية","لا تهمّني السياسة","نظام مختلط (يجمع بين النظامين النسبي والأكثري)","1618"
"157","35-44","بيروت","Female","إلى حدٍ ما","ناشط(ة) في المجتمع المدني واهتم بالسياسة لكن لا أميل الى أي ","NA","1618"
"158","Under 25","بيروت","Male","إلى حدٍ ما","ناشط(ة) في المجتمع المدني واهتم بالسياسة لكن لا أميل الى أي ","نظام مختلط (يجمع بين النظامين النسبي والأكثري)","1618"
"159","35-44","بيروت","Female","إلى حدٍ ما","لا تهمّني السياسة","النسبية مع لبنان دائرة واحدة","1618"
"160","Under 25","بيروت","Male","راضٍ(ية) تماماً","لا تهمّني السياسة","NA","1618"
"161","35-44","بيروت","Female","إلى حدٍ ما","اهتم بالسياسة لكن لا أميل إلى أي طرف سياسي","NA","1618"
"162","Under 25","بيروت","Male","إلى حدٍ ما","لا تهمّني السياسة","لا اعرف","1618"
"163","45-54","بيروت","Female","غير راضٍ(ية","اهتم بالسياسة لكن لا أميل إلى أي طرف سياسي","نظام مختلط (يجمع بين النظامين النسبي والأكثري)","1618"
"164","25-34","بيروت","Female","غير راضٍ(ية","لا تهمّني السياسة","NA","1618"
"165","25-34","بيروت","Female","إلى حدٍ ما","اهتم بالسياسة لكن لا أميل إلى أي طرف سياسي","نظام مختلط (يجمع بين النظامين النسبي والأكثري)","1618"
"166","Under 25","بيروت","Female","إلى حدٍ ما","لا تهمّني السياسة","نظام مختلط (يجمع بين النظامين النسبي والأكثري)","1618"
"167","35-44","بيروت","Male","غير راضٍ(ية","لا تهمّني السياسة","لا جواب","1618"
"168","25-34","بيروت","Female","غير راضٍ(ية","اهتم بالسياسة لكن لا أميل إلى أي طرف سياسي","NA","1618"
"169","25-34","بيروت","Female","إلى حدٍ ما","اهتم بالسياسة لكن لا أميل إلى أي طرف سياسي","NA","1618"
"170","25-34","بيروت","Female","غير راضٍ(ية","منتمي(ة) إلى حزب/تيار سياسي","NA","1618"
"171","35-44","بيروت","Male","غير راضٍ(ية","لا تهمّني السياسة","NA","1618"
"172","35-44","بيروت","Female","غير راضٍ(ية","لا تهمّني السياسة","NA","1618"
"173","35-44","بيروت","Male","غير راضٍ(ية","لا تهمّني السياسة","النسبية مع انتخاب كل شخص لنواب طائفته","1618"
"174","45-54","بيروت","Male","إلى حدٍ ما","لا تهمّني السياسة","NA","1618"
"175","25-34","بيروت","Female","إلى حدٍ ما","لا تهمّني السياسة","NA","1618"
"176","55-64","بيروت","Female","إلى حدٍ ما","لا تهمّني السياسة","NA","1618"
"177","Under 25","بيروت","Female","إلى حدٍ ما","لا تهمّني السياسة","NA","1618"
"178","25-34","بيروت","Male","غير راضٍ(ية","مشجع(ة) أو داعم(ة) لحزب/تيار سياسي","NA","1618"
"179","25-34","بيروت","Female","غير راضٍ(ية","لا تهمّني السياسة","NA","1618"
"180","25-34","بيروت","Female","إلى حدٍ ما","منتمي(ة) إلى حزب/تيار سياسي","NA","1618"
"181","25-34","بيروت","Male","إلى حدٍ ما","لا تهمّني السياسة","NA","1618"
"182","25-34","بيروت","Female","إلى حدٍ ما","مشجع(ة) أو داعم(ة) لحزب/تيار سياسي","النسبية مع انتخاب كل شخص لنواب طائفته","1618"
"183","25-34","بيروت","Female","غير راضٍ(ية","لا تهمّني السياسة","NA","1618"
"184","25-34","بيروت","Male","إلى حدٍ ما","مشجع(ة) أو داعم(ة) لحزب/تيار سياسي","النسبية مع دوائر كبرى ","1618"
"185","25-34","بيروت","Male","غير راضٍ(ية","مشجع(ة) أو داعم(ة) لحزب/تيار سياسي","NA","1618"
"186","25-34","بيروت","Female","إلى حدٍ ما","لا تهمّني السياسة","NA","1618"
"187","25-34","بيروت","Female","غير راضٍ(ية","لا تهمّني السياسة","لا جواب","1618"
"188","Under 25","بيروت","Female","راضٍ(ية) تماماً","مشجع(ة) أو داعم(ة) لحزب/تيار سياسي","NA","1618"
"189","25-34","بيروت","Female","إلى حدٍ ما","NA","NA","1618"
"190","25-34","بيروت","Male","غير راضٍ(ية","منتمي(ة) إلى حزب/تيار سياسي","NA","1618"
"191","Under 25","بيروت","Female","إلى حدٍ ما","منتمي(ة) إلى حزب/تيار سياسي","NA","1618"
"192","Under 25","بيروت","Female","غير راضٍ(ية","لا تهمّني السياسة","النسبية مع دوائر كبرى ","1618"
"193","35-44","بيروت","Female","غير راضٍ(ية","منتمي(ة) إلى حزب/تيار سياسي","NA","1618"
"194","25-34","بيروت","Male","غير راضٍ(ية","مشجع(ة) أو داعم(ة) لحزب/تيار سياسي","NA","1618"
"195","25-34","بيروت","Female","إلى حدٍ ما","منتمي(ة) إلى حزب/تيار سياسي","لا اعرف","1618"
"196","55-64","بيروت","Female","غير راضٍ(ية","اهتم بالسياسة لكن لا أميل إلى أي طرف سياسي","NA","1618"
"197","55-64","بيروت","Female","إلى حدٍ ما","لا تهمّني السياسة","لا اعرف","1618"
"198","45-54","بيروت","Female","غير راضٍ(ية","لا تهمّني السياسة","لا جواب","1618"
"199","45-54","بيروت","Female","إلى حدٍ ما","اهتم بالسياسة لكن لا أميل إلى أي طرف سياسي","NA","1618"
"200","Under 25","بيروت","Female","إلى حدٍ ما","لا تهمّني السياسة","لا اعرف","1618"
"201","55-64","بيروت","Male","غير راضٍ(ية","اهتم بالسياسة لكن لا أميل إلى أي طرف سياسي","النسبية مع لبنان دائرة واحدة","1618"
"202","25-34","بيروت","Female","غير راضٍ(ية","لا تهمّني السياسة","لا اعرف","1618"
"203","35-44","بيروت","Male","غير راضٍ(ية","لا تهمّني السياسة","نظام مختلط (يجمع بين النظامين النسبي والأكثري)","1618"
"204","Under 25","بيروت","Female","راضٍ(ية) تماماً","لا تهمّني السياسة","لا اعرف","1618"
"205","25-34","بيروت","Female","إلى حدٍ ما","مشجع(ة) أو داعم(ة) لحزب/تيار سياسي","نظام مختلط (يجمع بين النظامين النسبي والأكثري)","1618"
