"Year","Confession","Gender","Town","District","Governorate"
"1990-1994","سني","ذكر","المجيدية","حاصبيا","النبطية"
"1985-1989","سني","ذكر","المجيدية","حاصبيا","النبطية"
"1985-1989","سني","ذكر","المجيدية","حاصبيا","النبطية"
"1960-1964","سني","ذكر","المجيدية","حاصبيا","النبطية"
"1960-1964","سني","اناث","المجيدية","حاصبيا","النبطية"
"1955-1959","سني","اناث","المجيدية","حاصبيا","النبطية"
"1985-1989","سني","اناث","المجيدية","حاصبيا","النبطية"
"1985-1989","سني","اناث","المجيدية","حاصبيا","النبطية"
"1985-1989","سني","اناث","المجيدية","حاصبيا","النبطية"
"1985-1989","سني","اناث","المجيدية","حاصبيا","النبطية"
"1985-1989","سني","اناث","المجيدية","حاصبيا","النبطية"
"1980-1984","سني","اناث","المجيدية","حاصبيا","النبطية"
"1965-1969","سني","اناث","المجيدية","حاصبيا","النبطية"
"1955-1959","سني","اناث","المجيدية","حاصبيا","النبطية"
"1945-1949","سني","اناث","المجيدية","حاصبيا","النبطية"
"1975-1979","سني","اناث","المجيدية","حاصبيا","النبطية"
"1955-1959","سني","اناث","المجيدية","حاصبيا","النبطية"
"1985-1989","سني","اناث","المجيدية","حاصبيا","النبطية"
"1975-1979","سني","اناث","المجيدية","حاصبيا","النبطية"
"1980-1984","سني","اناث","المجيدية","حاصبيا","النبطية"
"1945-1949","سني","اناث","المجيدية","حاصبيا","النبطية"
"1980-1984","سني","اناث","المجيدية","حاصبيا","النبطية"
"1980-1984","شيعي","اناث","المجيدية","حاصبيا","النبطية"
"1970-1974","سني","اناث","المجيدية","حاصبيا","النبطية"
"1970-1974","سني","اناث","المجيدية","حاصبيا","النبطية"
"1980-1984","سني","اناث","المجيدية","حاصبيا","النبطية"
"1975-1979","سني","اناث","المجيدية","حاصبيا","النبطية"
"1965-1969","سني","اناث","المجيدية","حاصبيا","النبطية"
"1955-1959","سني","اناث","المجيدية","حاصبيا","النبطية"
"1925-1929","سني","اناث","المجيدية","حاصبيا","النبطية"
"1920-1924","سني","اناث","المجيدية","حاصبيا","النبطية"
"1980-1984","سني","اناث","المجيدية","حاصبيا","النبطية"
"1950-1954","سني","اناث","المجيدية","حاصبيا","النبطية"
"1960-1964","سني","اناث","المجيدية","حاصبيا","النبطية"
"1980-1984","سني","اناث","المجيدية","حاصبيا","النبطية"
"1980-1984","سني","اناث","المجيدية","حاصبيا","النبطية"
"1985-1989","سني","اناث","المجيدية","حاصبيا","النبطية"
"1980-1984","سني","اناث","المجيدية","حاصبيا","النبطية"
"1980-1984","سني","اناث","المجيدية","حاصبيا","النبطية"
"1980-1984","سني","اناث","المجيدية","حاصبيا","النبطية"
"1980-1984","سني","اناث","المجيدية","حاصبيا","النبطية"
"1955-1959","سني","اناث","المجيدية","حاصبيا","النبطية"
"1970-1974","سني","اناث","المجيدية","حاصبيا","النبطية"
"1960-1964","سني","اناث","المجيدية","حاصبيا","النبطية"
"1955-1959","سني","اناث","المجيدية","حاصبيا","النبطية"
"1975-1979","سني","اناث","المجيدية","حاصبيا","النبطية"
"1960-1964","سني","اناث","المجيدية","حاصبيا","النبطية"
"1960-1964","سني","اناث","المجيدية","حاصبيا","النبطية"
"1985-1989","سني","اناث","المجيدية","حاصبيا","النبطية"
"1990-1994","سني","اناث","المجيدية","حاصبيا","النبطية"
"1990-1994","سني","اناث","المجيدية","حاصبيا","النبطية"
"1985-1989","روم ارثوذكس","ذكر","ابو قمحة","حاصبيا","النبطية"
"1925-1929","روم ارثوذكس","ذكر","ابو قمحة","حاصبيا","النبطية"
"1925-1929","روم ارثوذكس","ذكر","ابو قمحة","حاصبيا","النبطية"
"1920-1924","روم ارثوذكس","ذكر","ابو قمحة","حاصبيا","النبطية"
"1930-1934","روم ارثوذكس","ذكر","ابو قمحة","حاصبيا","النبطية"
"1965-1969","روم ارثوذكس","ذكر","ابو قمحة","حاصبيا","النبطية"
"1965-1969","روم ارثوذكس","ذكر","ابو قمحة","حاصبيا","النبطية"
"1925-1929","روم ارثوذكس","ذكر","ابو قمحة","حاصبيا","النبطية"
"1925-1929","روم ارثوذكس","ذكر","ابو قمحة","حاصبيا","النبطية"
"1935-1939","روم ارثوذكس","ذكر","ابو قمحة","حاصبيا","النبطية"
"1940-1944","روم ارثوذكس","ذكر","ابو قمحة","حاصبيا","النبطية"
"1950-1954","روم ارثوذكس","ذكر","ابو قمحة","حاصبيا","النبطية"
"1960-1964","روم ارثوذكس","ذكر","ابو قمحة","حاصبيا","النبطية"
"1925-1929","روم ارثوذكس","ذكر","ابو قمحة","حاصبيا","النبطية"
"1925-1929","روم ارثوذكس","ذكر","ابو قمحة","حاصبيا","النبطية"
"1920-1924","روم ارثوذكس","ذكر","ابو قمحة","حاصبيا","النبطية"
"1980-1984","روم ارثوذكس","ذكر","ابو قمحة","حاصبيا","النبطية"
"1915-1919","روم ارثوذكس","ذكر","ابو قمحة","حاصبيا","النبطية"
"1920-1924","روم ارثوذكس","ذكر","ابو قمحة","حاصبيا","النبطية"
"1920-1924","روم ارثوذكس","ذكر","ابو قمحة","حاصبيا","النبطية"
"1920-1924","روم ارثوذكس","ذكر","ابو قمحة","حاصبيا","النبطية"
"1925-1929","روم ارثوذكس","ذكر","ابو قمحة","حاصبيا","النبطية"
"1925-1929","روم ارثوذكس","ذكر","ابو قمحة","حاصبيا","النبطية"
"1985-1989","روم ارثوذكس","ذكر","ابو قمحة","حاصبيا","النبطية"
"1920-1924","روم ارثوذكس","ذكر","ابو قمحة","حاصبيا","النبطية"
"1920-1924","روم ارثوذكس","ذكر","ابو قمحة","حاصبيا","النبطية"
"1925-1929","روم ارثوذكس","ذكر","ابو قمحة","حاصبيا","النبطية"
"1925-1929","روم ارثوذكس","ذكر","ابو قمحة","حاصبيا","النبطية"
"1930-1934","روم ارثوذكس","ذكر","ابو قمحة","حاصبيا","النبطية"
"1930-1934","روم ارثوذكس","ذكر","ابو قمحة","حاصبيا","النبطية"
"1930-1934","روم ارثوذكس","ذكر","ابو قمحة","حاصبيا","النبطية"
"1930-1934","روم ارثوذكس","ذكر","ابو قمحة","حاصبيا","النبطية"
"1915-1919","روم ارثوذكس","ذكر","ابو قمحة","حاصبيا","النبطية"
"1950-1954","روم ارثوذكس","ذكر","ابو قمحة","حاصبيا","النبطية"
"1960-1964","روم ارثوذكس","ذكر","ابو قمحة","حاصبيا","النبطية"
"1960-1964","روم ارثوذكس","ذكر","ابو قمحة","حاصبيا","النبطية"
"1980-1984","روم ارثوذكس","ذكر","ابو قمحة","حاصبيا","النبطية"
"1985-1989","روم ارثوذكس","ذكر","ابو قمحة","حاصبيا","النبطية"
"1980-1984","روم ارثوذكس","ذكر","ابو قمحة","حاصبيا","النبطية"
"1950-1954","روم ارثوذكس","ذكر","ابو قمحة","حاصبيا","النبطية"
"1965-1969","روم ارثوذكس","ذكر","ابو قمحة","حاصبيا","النبطية"
"1980-1984","روم ارثوذكس","ذكر","ابو قمحة","حاصبيا","النبطية"
"1965-1969","روم ارثوذكس","ذكر","ابو قمحة","حاصبيا","النبطية"
"1970-1974","روم ارثوذكس","ذكر","ابو قمحة","حاصبيا","النبطية"
"1960-1964","روم ارثوذكس","ذكر","ابو قمحة","حاصبيا","النبطية"
"1985-1989","روم ارثوذكس","ذكر","ابو قمحة","حاصبيا","النبطية"
"1985-1989","روم ارثوذكس","ذكر","ابو قمحة","حاصبيا","النبطية"
"1965-1969","روم ارثوذكس","ذكر","ابو قمحة","حاصبيا","النبطية"
"1975-1979","روم ارثوذكس","ذكر","ابو قمحة","حاصبيا","النبطية"
"1940-1944","روم ارثوذكس","ذكر","ابو قمحة","حاصبيا","النبطية"
"1945-1949","روم ارثوذكس","ذكر","ابو قمحة","حاصبيا","النبطية"
"1950-1954","روم ارثوذكس","ذكر","ابو قمحة","حاصبيا","النبطية"
"1980-1984","روم ارثوذكس","ذكر","ابو قمحة","حاصبيا","النبطية"
"1980-1984","روم ارثوذكس","ذكر","ابو قمحة","حاصبيا","النبطية"
"1970-1974","روم ارثوذكس","ذكر","ابو قمحة","حاصبيا","النبطية"
"1930-1934","روم ارثوذكس","ذكر","ابو قمحة","حاصبيا","النبطية"
"1945-1949","روم ارثوذكس","ذكر","ابو قمحة","حاصبيا","النبطية"
"1975-1979","روم ارثوذكس","ذكر","ابو قمحة","حاصبيا","النبطية"
"1980-1984","روم ارثوذكس","ذكر","ابو قمحة","حاصبيا","النبطية"
"1955-1959","روم ارثوذكس","ذكر","ابو قمحة","حاصبيا","النبطية"
"1980-1984","روم ارثوذكس","ذكر","ابو قمحة","حاصبيا","النبطية"
"1945-1949","روم ارثوذكس","ذكر","ابو قمحة","حاصبيا","النبطية"
"1980-1984","روم ارثوذكس","ذكر","ابو قمحة","حاصبيا","النبطية"
"1975-1979","روم ارثوذكس","ذكر","ابو قمحة","حاصبيا","النبطية"
"1975-1979","روم ارثوذكس","ذكر","ابو قمحة","حاصبيا","النبطية"
"1925-1929","روم ارثوذكس","ذكر","ابو قمحة","حاصبيا","النبطية"
"1970-1974","روم ارثوذكس","ذكر","ابو قمحة","حاصبيا","النبطية"
"1960-1964","روم ارثوذكس","ذكر","ابو قمحة","حاصبيا","النبطية"
"1945-1949","روم ارثوذكس","ذكر","ابو قمحة","حاصبيا","النبطية"
"1970-1974","روم ارثوذكس","ذكر","ابو قمحة","حاصبيا","النبطية"
"1960-1964","روم ارثوذكس","ذكر","ابو قمحة","حاصبيا","النبطية"
"1960-1964","روم ارثوذكس","ذكر","ابو قمحة","حاصبيا","النبطية"
"1970-1974","روم ارثوذكس","ذكر","ابو قمحة","حاصبيا","النبطية"
"1975-1979","روم ارثوذكس","ذكر","ابو قمحة","حاصبيا","النبطية"
"1980-1984","روم ارثوذكس","ذكر","ابو قمحة","حاصبيا","النبطية"
"1975-1979","روم ارثوذكس","ذكر","ابو قمحة","حاصبيا","النبطية"
"1950-1954","روم ارثوذكس","ذكر","ابو قمحة","حاصبيا","النبطية"
"1985-1989","روم ارثوذكس","ذكر","ابو قمحة","حاصبيا","النبطية"
"1985-1989","روم ارثوذكس","ذكر","ابو قمحة","حاصبيا","النبطية"
"1985-1989","روم ارثوذكس","ذكر","ابو قمحة","حاصبيا","النبطية"
"1990-1994","روم ارثوذكس","ذكر","ابو قمحة","حاصبيا","النبطية"
"1990-1994","روم ارثوذكس","ذكر","ابو قمحة","حاصبيا","النبطية"
"1980-1984","روم ارثوذكس","ذكر","ابو قمحة","حاصبيا","النبطية"
"1980-1984","روم ارثوذكس","ذكر","ابو قمحة","حاصبيا","النبطية"
"1980-1984","روم ارثوذكس","ذكر","ابو قمحة","حاصبيا","النبطية"
"1975-1979","روم ارثوذكس","ذكر","ابو قمحة","حاصبيا","النبطية"
"1970-1974","روم ارثوذكس","ذكر","ابو قمحة","حاصبيا","النبطية"
"1985-1989","روم ارثوذكس","ذكر","ابو قمحة","حاصبيا","النبطية"
"1970-1974","روم ارثوذكس","ذكر","ابو قمحة","حاصبيا","النبطية"
"1930-1934","روم ارثوذكس","ذكر","ابو قمحة","حاصبيا","النبطية"
"1955-1959","روم ارثوذكس","ذكر","ابو قمحة","حاصبيا","النبطية"
"1965-1969","روم ارثوذكس","ذكر","ابو قمحة","حاصبيا","النبطية"
"1975-1979","روم ارثوذكس","ذكر","ابو قمحة","حاصبيا","النبطية"
"1970-1974","روم ارثوذكس","ذكر","ابو قمحة","حاصبيا","النبطية"
"1975-1979","روم ارثوذكس","اناث","ابو قمحة","حاصبيا","النبطية"
"1980-1984","روم ارثوذكس","اناث","ابو قمحة","حاصبيا","النبطية"
"1920-1924","روم ارثوذكس","اناث","ابو قمحة","حاصبيا","النبطية"
"1925-1929","روم ارثوذكس","اناث","ابو قمحة","حاصبيا","النبطية"
"1925-1929","روم ارثوذكس","اناث","ابو قمحة","حاصبيا","النبطية"
"1930-1934","روم ارثوذكس","اناث","ابو قمحة","حاصبيا","النبطية"
"1930-1934","روم ارثوذكس","اناث","ابو قمحة","حاصبيا","النبطية"
"1935-1939","روم ارثوذكس","اناث","ابو قمحة","حاصبيا","النبطية"
"1915-1919","روم ارثوذكس","اناث","ابو قمحة","حاصبيا","النبطية"
"1920-1924","روم ارثوذكس","اناث","ابو قمحة","حاصبيا","النبطية"
"1930-1934","روم ارثوذكس","اناث","ابو قمحة","حاصبيا","النبطية"
"1915-1919","روم ارثوذكس","اناث","ابو قمحة","حاصبيا","النبطية"
"1930-1934","روم ارثوذكس","اناث","ابو قمحة","حاصبيا","النبطية"
"1960-1964","روم ارثوذكس","اناث","ابو قمحة","حاصبيا","النبطية"
"1960-1964","روم ارثوذكس","اناث","ابو قمحة","حاصبيا","النبطية"
"1960-1964","روم ارثوذكس","اناث","ابو قمحة","حاصبيا","النبطية"
"1925-1929","روم ارثوذكس","اناث","ابو قمحة","حاصبيا","النبطية"
"1930-1934","روم ارثوذكس","اناث","ابو قمحة","حاصبيا","النبطية"
"1910-1914","روم ارثوذكس","اناث","ابو قمحة","حاصبيا","النبطية"
"1960-1964","روم كاثوليك","اناث","ابو قمحة","حاصبيا","النبطية"
"1920-1924","روم ارثوذكس","اناث","ابو قمحة","حاصبيا","النبطية"
"1920-1924","روم ارثوذكس","اناث","ابو قمحة","حاصبيا","النبطية"
"1925-1929","روم ارثوذكس","اناث","ابو قمحة","حاصبيا","النبطية"
"1930-1934","روم ارثوذكس","اناث","ابو قمحة","حاصبيا","النبطية"
"1965-1969","روم كاثوليك","اناث","ابو قمحة","حاصبيا","النبطية"
"1985-1989","روم ارثوذكس","اناث","ابو قمحة","حاصبيا","النبطية"
"1925-1929","غير مذكور","اناث","ابو قمحة","حاصبيا","النبطية"
"1915-1919","روم ارثوذكس","اناث","ابو قمحة","حاصبيا","النبطية"
"1920-1924","روم ارثوذكس","اناث","ابو قمحة","حاصبيا","النبطية"
"1925-1929","روم ارثوذكس","اناث","ابو قمحة","حاصبيا","النبطية"
"1935-1939","ماروني","اناث","ابو قمحة","حاصبيا","النبطية"
"1985-1989","روم ارثوذكس","اناث","ابو قمحة","حاصبيا","النبطية"
"1990-1994","روم ارثوذكس","اناث","ابو قمحة","حاصبيا","النبطية"
"1985-1989","روم كاثوليك","اناث","ابو قمحة","حاصبيا","النبطية"
"1980-1984","روم ارثوذكس","اناث","ابو قمحة","حاصبيا","النبطية"
"1985-1989","روم ارثوذكس","اناث","ابو قمحة","حاصبيا","النبطية"
"1985-1989","روم ارثوذكس","اناث","ابو قمحة","حاصبيا","النبطية"
"1980-1984","روم ارثوذكس","اناث","ابو قمحة","حاصبيا","النبطية"
"1975-1979","ماروني","اناث","ابو قمحة","حاصبيا","النبطية"
"1970-1974","ماروني","اناث","ابو قمحة","حاصبيا","النبطية"
"1965-1969","روم كاثوليك","اناث","ابو قمحة","حاصبيا","النبطية"
"1980-1984","روم ارثوذكس","اناث","ابو قمحة","حاصبيا","النبطية"
"1970-1974","روم ارثوذكس","اناث","ابو قمحة","حاصبيا","النبطية"
"1975-1979","روم كاثوليك","اناث","ابو قمحة","حاصبيا","النبطية"
"1950-1954","روم ارثوذكس","اناث","ابو قمحة","حاصبيا","النبطية"
"1970-1974","روم ارثوذكس","اناث","ابو قمحة","حاصبيا","النبطية"
"1975-1979","روم ارثوذكس","اناث","ابو قمحة","حاصبيا","النبطية"
"1965-1969","روم ارثوذكس","اناث","ابو قمحة","حاصبيا","النبطية"
"1975-1979","روم كاثوليك","اناث","ابو قمحة","حاصبيا","النبطية"
"1980-1984","روم ارثوذكس","اناث","ابو قمحة","حاصبيا","النبطية"
"1955-1959","روم ارثوذكس","اناث","ابو قمحة","حاصبيا","النبطية"
"1950-1954","ماروني","اناث","ابو قمحة","حاصبيا","النبطية"
"1955-1959","روم ارثوذكس","اناث","ابو قمحة","حاصبيا","النبطية"
"1955-1959","ماروني","اناث","ابو قمحة","حاصبيا","النبطية"
"1960-1964","روم ارثوذكس","اناث","ابو قمحة","حاصبيا","النبطية"
"1985-1989","ماروني","اناث","ابو قمحة","حاصبيا","النبطية"
"1940-1944","ماروني","اناث","ابو قمحة","حاصبيا","النبطية"
"1960-1964","روم ارثوذكس","اناث","ابو قمحة","حاصبيا","النبطية"
"1955-1959","ماروني","اناث","ابو قمحة","حاصبيا","النبطية"
"1945-1949","روم ارثوذكس","اناث","ابو قمحة","حاصبيا","النبطية"
"1980-1984","روم ارثوذكس","اناث","ابو قمحة","حاصبيا","النبطية"
"1975-1979","روم ارثوذكس","اناث","ابو قمحة","حاصبيا","النبطية"
"1945-1949","لاتيني","اناث","ابو قمحة","حاصبيا","النبطية"
"1965-1969","روم كاثوليك","اناث","ابو قمحة","حاصبيا","النبطية"
"1940-1944","روم ارثوذكس","اناث","ابو قمحة","حاصبيا","النبطية"
"1965-1969","روم ارثوذكس","اناث","ابو قمحة","حاصبيا","النبطية"
"1955-1959","انجيلي (بروتستانت)","اناث","ابو قمحة","حاصبيا","النبطية"
"1975-1979","روم كاثوليك","اناث","ابو قمحة","حاصبيا","النبطية"
"1980-1984","ماروني","اناث","ابو قمحة","حاصبيا","النبطية"
"1960-1964","ماروني","اناث","ابو قمحة","حاصبيا","النبطية"
"1970-1974","روم ارثوذكس","اناث","ابو قمحة","حاصبيا","النبطية"
"1960-1964","ماروني","اناث","ابو قمحة","حاصبيا","النبطية"
"1975-1979","ارمن ارثوذكس","اناث","ابو قمحة","حاصبيا","النبطية"
"1985-1989","ماروني","اناث","ابو قمحة","حاصبيا","النبطية"
"1975-1979","ماروني","اناث","ابو قمحة","حاصبيا","النبطية"
"1950-1954","ماروني","اناث","ابو قمحة","حاصبيا","النبطية"
"1960-1964","ماروني","اناث","ابو قمحة","حاصبيا","النبطية"
"1965-1969","ماروني","اناث","ابو قمحة","حاصبيا","النبطية"
"1990-1994","روم ارثوذكس","اناث","ابو قمحة","حاصبيا","النبطية"
"1990-1994","روم ارثوذكس","اناث","ابو قمحة","حاصبيا","النبطية"
"1990-1994","روم ارثوذكس","اناث","ابو قمحة","حاصبيا","النبطية"
"1990-1994","روم ارثوذكس","اناث","ابو قمحة","حاصبيا","النبطية"
"1955-1959","روم ارثوذكس","اناث","ابو قمحة","حاصبيا","النبطية"
"1935-1939","روم كاثوليك","اناث","ابو قمحة","حاصبيا","النبطية"
"1990-1994","روم ارثوذكس","اناث","ابو قمحة","حاصبيا","النبطية"
"1960-1964","ماروني","ذكر","ابو قمحة","حاصبيا","النبطية"
"1950-1954","ماروني","ذكر","ابو قمحة","حاصبيا","النبطية"
"1935-1939","ماروني","ذكر","ابو قمحة","حاصبيا","النبطية"
"1970-1974","ماروني","ذكر","ابو قمحة","حاصبيا","النبطية"
"1955-1959","ماروني","ذكر","ابو قمحة","حاصبيا","النبطية"
"1965-1969","ماروني","ذكر","ابو قمحة","حاصبيا","النبطية"
"1975-1979","ماروني","ذكر","ابو قمحة","حاصبيا","النبطية"
"1980-1984","ماروني","ذكر","ابو قمحة","حاصبيا","النبطية"
"1985-1989","ماروني","ذكر","ابو قمحة","حاصبيا","النبطية"
"1975-1979","ماروني","ذكر","ابو قمحة","حاصبيا","النبطية"
"1950-1954","ماروني","ذكر","ابو قمحة","حاصبيا","النبطية"
"1935-1939","ماروني","اناث","ابو قمحة","حاصبيا","النبطية"
"1960-1964","ماروني","اناث","ابو قمحة","حاصبيا","النبطية"
"1955-1959","روم ارثوذكس","اناث","ابو قمحة","حاصبيا","النبطية"
"1945-1949","روم ارثوذكس","اناث","ابو قمحة","حاصبيا","النبطية"
"1925-1929","روم ارثوذكس","اناث","ابو قمحة","حاصبيا","النبطية"
"1985-1989","ماروني","اناث","ابو قمحة","حاصبيا","النبطية"
"1955-1959","روم ارثوذكس","اناث","ابو قمحة","حاصبيا","النبطية"
"1960-1964","روم ارثوذكس","اناث","ابو قمحة","حاصبيا","النبطية"
"1980-1984","ماروني","اناث","ابو قمحة","حاصبيا","النبطية"
"1975-1979","ماروني","اناث","ابو قمحة","حاصبيا","النبطية"
"1980-1984","ماروني","اناث","ابو قمحة","حاصبيا","النبطية"
"1975-1979","ماروني","اناث","ابو قمحة","حاصبيا","النبطية"
"1945-1949","درزي","ذكر","الخلوات","حاصبيا","النبطية"
"1945-1949","درزي","ذكر","الخلوات","حاصبيا","النبطية"
"1965-1969","درزي","ذكر","الخلوات","حاصبيا","النبطية"
"1965-1969","درزي","ذكر","الخلوات","حاصبيا","النبطية"
"1940-1944","درزي","ذكر","الخلوات","حاصبيا","النبطية"
"1935-1939","درزي","ذكر","الخلوات","حاصبيا","النبطية"
"1965-1969","درزي","ذكر","الخلوات","حاصبيا","النبطية"
"1925-1929","درزي","ذكر","الخلوات","حاصبيا","النبطية"
"1955-1959","درزي","ذكر","الخلوات","حاصبيا","النبطية"
"1960-1964","درزي","ذكر","الخلوات","حاصبيا","النبطية"
"1965-1969","درزي","ذكر","الخلوات","حاصبيا","النبطية"
"1970-1974","درزي","ذكر","الخلوات","حاصبيا","النبطية"
"1970-1974","درزي","ذكر","الخلوات","حاصبيا","النبطية"
"1970-1974","درزي","ذكر","الخلوات","حاصبيا","النبطية"
"1975-1979","درزي","ذكر","الخلوات","حاصبيا","النبطية"
"1980-1984","درزي","ذكر","الخلوات","حاصبيا","النبطية"
"1985-1989","درزي","ذكر","الخلوات","حاصبيا","النبطية"
"1950-1954","درزي","ذكر","الخلوات","حاصبيا","النبطية"
"1985-1989","درزي","ذكر","الخلوات","حاصبيا","النبطية"
"1980-1984","درزي","ذكر","الخلوات","حاصبيا","النبطية"
"1970-1974","درزي","ذكر","الخلوات","حاصبيا","النبطية"
"1970-1974","درزي","ذكر","الخلوات","حاصبيا","النبطية"
"1980-1984","درزي","ذكر","الخلوات","حاصبيا","النبطية"
"1945-1949","درزي","ذكر","الخلوات","حاصبيا","النبطية"
"1950-1954","درزي","ذكر","الخلوات","حاصبيا","النبطية"
"1965-1969","درزي","ذكر","الخلوات","حاصبيا","النبطية"
"1910-1914","درزي","ذكر","الخلوات","حاصبيا","النبطية"
"1965-1969","درزي","ذكر","الخلوات","حاصبيا","النبطية"
"1925-1929","درزي","ذكر","الخلوات","حاصبيا","النبطية"
"1925-1929","درزي","ذكر","الخلوات","حاصبيا","النبطية"
"1950-1954","درزي","ذكر","الخلوات","حاصبيا","النبطية"
"1920-1924","درزي","ذكر","الخلوات","حاصبيا","النبطية"
"1935-1939","درزي","ذكر","الخلوات","حاصبيا","النبطية"
"1985-1989","درزي","ذكر","الخلوات","حاصبيا","النبطية"
"1990-1994","درزي","ذكر","الخلوات","حاصبيا","النبطية"
"1985-1989","درزي","ذكر","الخلوات","حاصبيا","النبطية"
"1985-1989","درزي","ذكر","الخلوات","حاصبيا","النبطية"
"1990-1994","درزي","ذكر","الخلوات","حاصبيا","النبطية"
"1985-1989","درزي","ذكر","الخلوات","حاصبيا","النبطية"
"1985-1989","درزي","ذكر","الخلوات","حاصبيا","النبطية"
"1990-1994","درزي","ذكر","الخلوات","حاصبيا","النبطية"
"1985-1989","درزي","ذكر","الخلوات","حاصبيا","النبطية"
"1985-1989","درزي","ذكر","الخلوات","حاصبيا","النبطية"
"1985-1989","درزي","ذكر","الخلوات","حاصبيا","النبطية"
"1960-1964","درزي","ذكر","الخلوات","حاصبيا","النبطية"
"1965-1969","درزي","ذكر","الخلوات","حاصبيا","النبطية"
"1975-1979","درزي","ذكر","الخلوات","حاصبيا","النبطية"
"1955-1959","درزي","ذكر","الخلوات","حاصبيا","النبطية"
"1980-1984","درزي","ذكر","الخلوات","حاصبيا","النبطية"
"1960-1964","درزي","ذكر","الخلوات","حاصبيا","النبطية"
"1955-1959","درزي","ذكر","الخلوات","حاصبيا","النبطية"
"1980-1984","درزي","ذكر","الخلوات","حاصبيا","النبطية"
"1960-1964","درزي","ذكر","الخلوات","حاصبيا","النبطية"
"1975-1979","درزي","ذكر","الخلوات","حاصبيا","النبطية"
"1985-1989","درزي","ذكر","الخلوات","حاصبيا","النبطية"
"1975-1979","درزي","ذكر","الخلوات","حاصبيا","النبطية"
"1985-1989","درزي","ذكر","الخلوات","حاصبيا","النبطية"
"1955-1959","درزي","ذكر","الخلوات","حاصبيا","النبطية"
"1970-1974","درزي","ذكر","الخلوات","حاصبيا","النبطية"
"1970-1974","درزي","ذكر","الخلوات","حاصبيا","النبطية"
"1980-1984","درزي","ذكر","الخلوات","حاصبيا","النبطية"
"1970-1974","درزي","ذكر","الخلوات","حاصبيا","النبطية"
"1950-1954","درزي","ذكر","الخلوات","حاصبيا","النبطية"
"1980-1984","درزي","ذكر","الخلوات","حاصبيا","النبطية"
"1965-1969","درزي","ذكر","الخلوات","حاصبيا","النبطية"
"1960-1964","درزي","ذكر","الخلوات","حاصبيا","النبطية"
"1950-1954","درزي","ذكر","الخلوات","حاصبيا","النبطية"
"1975-1979","درزي","ذكر","الخلوات","حاصبيا","النبطية"
"1960-1964","درزي","ذكر","الخلوات","حاصبيا","النبطية"
"1980-1984","درزي","ذكر","الخلوات","حاصبيا","النبطية"
"1970-1974","درزي","ذكر","الخلوات","حاصبيا","النبطية"
"1975-1979","درزي","ذكر","الخلوات","حاصبيا","النبطية"
"1975-1979","درزي","ذكر","الخلوات","حاصبيا","النبطية"
"1950-1954","درزي","ذكر","الخلوات","حاصبيا","النبطية"
"1970-1974","درزي","ذكر","الخلوات","حاصبيا","النبطية"
"1975-1979","درزي","ذكر","الخلوات","حاصبيا","النبطية"
"1950-1954","درزي","ذكر","الخلوات","حاصبيا","النبطية"
"1970-1974","درزي","ذكر","الخلوات","حاصبيا","النبطية"
"1980-1984","درزي","ذكر","الخلوات","حاصبيا","النبطية"
"1945-1949","درزي","ذكر","الخلوات","حاصبيا","النبطية"
